Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
TABLA 83. PRODUCCIÓN PISCÍCOLA POR DEPARTAMENTO 2013 - 2017 ,,,,,
,,,,,(Toneladas)
DEPARTAMENTO,Año,,,,
,2013,2014.0,2015.0,2016.0,2017
ANTIOQUIA,5532,5864.0,6216.0,6589.0,6048
BOYACA,1588,1683.0,1784.0,1891.0,2044
CALDAS,185,196.0,208.0,220.0,301
CAQUETÁ,1238,1312.0,1391.0,1474.0,2224
CASANARE,2898,3072.0,3256.0,3452.0,3535
CAUCA,1358,1439.0,1526.0,1617.0,2381
CÓRDOBA,1573,1667.0,1767.0,1873.0,2236
CUNDINAMARCA,2853,3024.0,3206.0,3398.0,3571
LA GUAJIRA,423,448.0,475.0,504.0,541
HUILA,33521,43894.0,46528.0,49319.0,55594
META,12925,13124.0,13911.0,14746.0,15101
NARIÑO,1544,1637.0,1735.0,1839.0,2585
PUTUMAYO,1063,1127.0,1194.0,1266.0,1274
QUINDIO,106,112.0,119.0,126.0,168
SANTANDER,1238,1312.0,1391.0,1474.0,2140
RISARALDA,894,948.0,1004.0,1065.0,1142
SUCRE,2505,2655.0,2815.0,2983.0,3042
TOLIMA,4512,4783.0,5070.0,5374.0,6024
VALLE,2405,2549.0,2702.0,2864.0,3318
OTROS,6065,6429.0,6815.0,7224.0,6961
TOTAL,84426,97275.0,103113.0,109298.0,120230
Fuente: Cadena Nacional Acuicultura –MADR,,,,,
"•En 2017 Huila fue el principal productor piscícola a nivel nacional con el 46% de la producción, seguido por Meta con el 13%, Antioquia ,Tolima y Cundinamarca–Boyacá, cada uno con el 5%.",,,,,
