Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
"TABLA 46.  PRODUCCIÓN AVÍCOLA, HUEVOS Y CONSUMO PER CÁPITA. 1995 - 2017.",,,,
,,,,
Años,Producción Avícola,,,
,Pollos,,Huevos,
,Producción Toneladas,Consumo per cápita (Kg/habitante/año), Producción millones unidades,Consumo per cápita (Unid/habitante/año)
1995,451305.177211668,12.038122111081705,5581620.339597408,149
1996,472380.03720424394,12.406033253362441,5929355.286754326,156
1997,449501.4544752679,11.631241378975536,6319001.43912307,164
1998,491705.436004328,12.543083331409369,6575070.283083032,168
1999,535335.5613633163,13.651755946900746,6694022.082117399,169
2000,562743.8095120292,14.219385270478764,6439991.447527192,160
2001,595586.4375462162,14.829378738682324,7097874.386958302,174
2002,649037.1808494211,15.784327003492304,6827123.146140434,166
2003,678069.0985371353,16.20631763991227,7482782.27175106,179
2004,709182.3029827586,16.738868650367298,7490396.8907641135,177
2005,762870.1376630907,18.263846352967022,8199966.242580774,192
2006,849829.9170968977,20.132021414459402,8757210.455829618,202
2007,922343.5002807473,21.60554844834722,8293866.367501086,188
2008,1010659.213524224,23.338775217382842,9038295.153311305,198
2009,1019864.250223808,22.7,9681735.144839961,215
2010,1066942.561563648,23.4,9749348.77272479,214
2011,1074989,23.8,10662106.02,234
2012,1112260,23.877793736414528,10605722.945,228
2013,1275516,27.1,11127476.083,236
2014,1359157,29.5,11529249.917,242
2015,1424388,30.2,12029128.243,252
2016,1478924,31.5,12817345.194,262
2017,1563569,32.7,13827936.019,279
Fuente: FENAVI,,,,
Nota al pie: FENAVI calcula estas cifras a partir de: Comercio exterior (Dian) y  población (DANE) (cifras consolidadas censo 2005 desde 1985).,,,,
