Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
TABLA 62.  PRECIO PROMEDIO INTERNO DE  COMPRA  DE CAFÉ PERGAMINO SECO PAGADO,,,
                    POR LA FEDERACIÓN Y LOS PARTICULARES. 1990 - 2017.,,,
,,, ( $/carga de 125kg)
Años,"Pergamino Seco tipo
 Federación",Pergamino corriente,
,,Particulares,Particulares
1990,76973,76545,75855
1991,93598.75,91572,90888
1992,90978,87187,85722
1993,94612.16666666667,92967,90944
1994,157843.66666666666,159577,159354
1995,200258.25,199649,198486
1996,209897.25,211454,210658
1997,331012.75,336021,334192
1998,318811.9166666667,326880,325281
1999,332882.8333333333,339711,336549
2000,343663.9166666667,343807,340298
2001,292957.3333333333,288510,N.D
2002,288480.9166666667,286280.08082706766,N.D
2003,307148,N.D,N.D
2004,351353,N.D,N.D
2005,456750,N.D,N.D
2006,456804,N.D,N.D
2007,457642,N.D,N.D
2008,492657,N.D,N.D
2009,658079,N.D,N.D
2010,754399,N.D,N.D
2011,975343,N.D,N.D
2012,660528,N.D,N.D
2013,466121,N.D,N.D
2014,704540,N.D,N.D
2015,716821,N.D,N.D
2016,829826.9535595105,N.D,N.D
2017,818148,N.D,N.D
Período octubre - septiembre,,,
FUENTE:  FEDERACAFE - Grupo de Información Comercial,,,
  ND: No Disponible,,,
 ,,,
