Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
TABLA 52. PRECIOS INTERNACIONAL DE LA CARNE DE CERDO 1990 - 2017,,,,,,,,,,,,,
,,,,,,,,,,,,(US$/Tonelada),
Mes,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Prom.
Año,,,,,,,,,,,,,
1990,1707,1634,1809,1997,2403,2416,2426,2206,1837,1936,1828,1892,2007.5833333333333
1991,1708,1725,1758,1816,1999,1940,2167,1824,1676,1565,1404,1410,1749.3333333333333
1992,1399,1391,1380,1477,1809,1906,1796,1566,1579,1381,1296,1440,1535
1993,1440,1535,1580,1430,1510,1467,1621,1792,1621,1414,1351,1397,1513.1666666666667
1994,1488,1312,1378,1527,1694,1660,1609,1624,1330,1157,1110,1118,1417.25
1995,1259,1192,1164,1201,1590,1882,1622,1701,1416,1492,1294,1397,1434.1666666666667
1996,1208,1419,1380,1529,2000,1937,1761,1996,1616,1713,1688,1830,1673.0833333333333
1997,1588,1582,1589,1876,1899,2053,1943,1820,1652,1515,1407,1349,1689.4166666666667
1998,1135,1096,1137,1193,1892,1562,1134,1178,996,909,819,671,1143.5
1999,1086,770,806,932,1506,1125,1113,1480,1212,968,940,1060,1083.1666666666667
2000,915,1160,1209,1482,1385,1618,1572,1301,1150,1118,991,1317,1268.1666666666667
2001,1103,1165,1398,1428,1817,1844,1548,1729,1372,1097,989,1127,1384.75
2002,1031,1072,1076,992,1331,1497,1330,1146,720,835,804,815,1054.0833333333333
2003,789,856,834,990,1298,1485,1155,1200,1252,1126,942,939,1072.1666666666667
2004,1068,1222,1316,1595,1822,1836,1686,1690,1453,1385,1595,1825,1541.0833333333333
2005,1647,1567,1711,1870,1844,1964,1809,1948,1799,1821,1762,1590,1777.6666666666667
2006,1473,1473,1589,1448,1598,1910,1993,1843,1873,1785,1746,1707,1703.1666666666667
2007,1767,1728,1888,1772,1735,1797,1839,1697,1596,1405,1359,1241,1652
2008,1423,1353,1254,1208,1405,2141,2348,2098,2266,1808,1560,1433,1691.4166666666667
2009,0,1363,1425,1423,1533,1480,1507,1389,1318,1224,1304,1359,1277.0833333333333
2010,1458,1414,1532,1663,2393,2137,2030,1882,1966,1853,1887,1960,1847.9166666666667
2011,1952,2074,256,2358,2397,2335,2356,2403,2348,2230,2296,2235,2103.3333333333335
2012,2314,2218,2207,2178,2131,2158,2403,2150,1958,1865,1956,1954,2124.3333333333335
2013,1929,1866,1716,1633,1607,1607,1607,1607,1607,1607,1607,1607,1666.6666666666667
2014,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,3169,NI,1749
2015,2476,2050,1759,1921,1897,2679,2254,1802,1802,1954,1755,2090,2036.5833333333333
2016,1831,1768,1710,1832,2050,2428,2408,2470,2103,2338,1688,1601,2018.9166666666667
2017,1886,1898,1849,2049,1862,2315,2437,2301,2315,2315,2315,2315,2154.75
 Fuente: Fedeagro,,,,,,,,,,,,,
Condición: FOB Omaha,,,,,,,,,,,,,
