Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
TABLA 109.  SALARIO MÍNIMO LEGAL VIGENTE Y DECRETO. 1990 - 2018,,,,,,,
          ,,,,,,,(Pesos $)
Año,AUXILIO DE TRANSPORTE,,SALARIO MINIMO,,,Norma,
,Monto Mensual,Variación Anual %,Monto Diario,Monto Mensual,Variación Anual %,,
1990,3797.5,0,1367.5,41025,0,D.3000/89,D.0045/90
1991,4787,26.05661619486503,1724,51720,26.06946983546618,D.3074/90,D.0077/91
1992,6033,26.028828076039275,2173,65190,26.04408352668213,D.2867/91,D.0183/92
1993,7542,25.01243162605668,2717,81510,25.03451449608835,D.2061/92,D.2107/92
1994,8915,18.204720233359865,3290,98700,21.08943687891056,D.2548/93,D.2548/93
1995,10815,21.31239484015704,3964.45,118933.5,20.5,D.2872/94,D.2873/94
1996,13567,25.4461396208969,4737.5,142125,19.499552270806802,D.2310/95,D.2310/95
1997,17250,27.146753151028236,5733.5,172005,21.023746701846974,D.2334/96,D.2335/96
1998,20700,20,6794.2,203826,18.500043603383617,D.3106/97,D.3103/97
1999,24012,15.999999999999986,7882,236460,16.010715021636088,D.2560/98,D.2658/98
2000,26413,9.999167083125087,8670,260100,9.997462572951022,D.2647/99,D.2579/99
2001,30000,13.580433877257406,9533.333333333334,286000,9.957708573625524,D.2579/00,D.2580/00
2002,34000,13.333333333333329,10300,309000,8.04195804195804,D.2910/01,D.2909/01
2003,37500,10.294117647058826,11066.666666666666,332000,7.443365695792863,D.3232/02,D.3233/02
2004,41600,10.933333333333323,11933.333333333334,358000,7.831325301204828,D.3770/03,D.3771/03
2005,44500,6.971153846153854,12716.666666666666,381500,6.564245810055851,D.4360/04,D.4361/04
2006,47700,7.191011235955045,13600,408000,6.946264744429868,D.4686/05,D.4726/05
2007,50800,6.498951781970646,14456.666666666666,433700,6.299019607843135,D.4580/06,D.4581/06
2008,55000,8.267716535433081,15383.333333333334,461500,6.4099608023979755,D.4965/07,D.4966/07
2009,59218,7.669090909090912,16563.333333333332,496900,7.670639219934998,D.4868/08,D.4869/08
2010,61500,3.8535580397851987,17166.666666666668,515000,3.6425840209297604,D.5053/09,D.5053/09
2011,63600,3.41463414634147,17853.3333333333,535599.999999999,4,(Modificado por el Decreto 033 de 2011,
2012,67800,6.603773584905667,18890,566700,5.8,Decreto 4919 26/12/2011,
2013,70500,3.982300884955748,19650,589500,4.023292747485456,Decreto 2738/27/2012,
2014,72500,2.836879432624116,20533.333333333332,616000,4.495335029686174,"Decreto 3068 del 30 de Diciembre de 2013 (115.63 kB)
Decreto 3069 del 30 de Diciembre de 2013 (83.92 kB)",
2015,74000,2.068965517241381,21478.333333333332,644350,4.602272727272734,Decreto 2731 de 30-12-2014,
2016,79180,7,22981.8,689454,6.999922402421049,Decreto 2552 de 30-12-2014 Salario minímo,Decreto 2553 de 30-12-2015 Auxilo de transporte
2017,83140,5.001262945188188,24590.566666666666,737717,7.000176951616794,2209 de diciembre 30 de 2016,
2018,88211,6.099350493144101,26041.4,781242,5.899958927339341,DECRETOS 2269 Y 2270 DE 2017 - del 30 de dicembre de 2017,
"Fuente: Presidencia de la República,  Decretos del Gobierno Nacional.",,,,,,,
