;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nombre Estación:;;LA ESPERANZA NECHI [27037010];;;;;;;Corriente:;;;;Nechi;;;;;;;Categoría de estación;;;;Limnigráfica;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Latitud:;;8,030111111;;;;;;;Longitud:;;;;-74,78555556;;;;;;;Elevación:;;;;33;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Entidad:;;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;;;;;;;Área Operativa:;;;;Area Operativa 01 - Antioquia-Chocó;;;;;;;Departamento:;;;;Antioquia;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Municipio:;;Nechí;;;;;;;Fecha instalación:;;;;09/03/1975 00:00;;;;;;;Fecha suspensión:;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Serie:;;Q_MEDIA_D;;;;;;;Frecuencia:;;;;Diaria;;;;;;;Fechas Consulta:;;;;01/01/1950 00:00 - 31/12/2018 23:00;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Año;Mes;;Días;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;1;2;3;4;;5;;6;7;8;;9;10;11;12;;13;;14;15;16;;17;18;19;20;;21;;22;23;24;25;26;27;28;29;30;31;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966;9;;1350;1312;1235;1155;;1175;;1195;1155;1109;;1140;1160;1160;1165;;1114;;1118;1126;1086;;1077;1077;1010;1014;;1054;;1014;1038;1113;1131;1054;954,4;950,2;929,2;937,6;;
1966;10;;1086;1205;1265;1290;;1307;;1370;1385;1350;;1340;1370;1450;1450;;1478;;1450;1428;1385;;1318;1245;1235;1220;;1280;;1290;1149;1140;1081;1086;1135;1158;1205;1171;1131;
1966;11;;1038;1090;1113;1072;;1034;;1072;1144;1220;;1275;1307;1355;1456;;1474;;1510;1505;1401;;1240;1108;1050;967;;1050;;1205;1167;1190;1296;1375;1380;1439;1525;1579;;
1966;12;;1654;1708;1678;1640;;1672;;1619;1650;1702;;1740;1770;1780;1846;;1971;;1971;1836;1708;;1525;1385;1275;1167;;1104;;1077;1118;1095;1026;1038;1010;971,3;877;861;885;
1967;1;;885;849;767,2;740,2;;744;;707,5;686,2;671;;629,8;637,2;648,3;711;;697;;971;655,8;637,2;;690;622,4;697,5;587;;633,5;;704;583,5;663,4;648,3;604,5;671;775,6;678,6;597,5;587;
1967;2;;817;747,8;674,8;655,8;;633,5;;759,2;659,6;648,3;;629,8;611,5;622,4;677;;559;;539,5;465;471;;498,5;518,5;518,5;522;;501,8;;525,5;640,9;732,6;571;508,4;539,5;618,7;;;;
1967;3;;522;491,9;501,8;482;;482;;475,6;438;441;;438;429;429;508,4;;611,5;;508,4;472,4;432;;441;456,4;459,6;426;;411;;405;414;399;390;387,1;387,1;384,2;384,2;396;432;
1967;4;;405;411;565;453,2;;435;;429;590,5;462,8;;469,2;438;562;469,2;;529;;508,4;771,4;732,6;;767,2;933,4;813;893;;1001;;1064;958,6;755,4;644,6;574;682,4;877;885;1046;;
1967;5;;1185;1126;1064;1059;;967;;821;821;933,4;;967;971,3;992,8;909;;946;;954,4;950,2;988,5;;1018;1131;1167;1131;;1042;;933,4;921;925;869;1014;1113;1176;1205;1285;1370;
1967;6;;1515;1609;1696;1730;;1788;;1885;1893;1874;;1818;1634;1456;1340;;1225;;1195;1185;1205;;1230;1318;1401;1489;;1603;;1760;1812;1760;1730;1614;1489;1478;1510;1580;;
1967;7;;1640;1614;1525;1450;;1360;;1260;1215;1275;;1307;1323;1370;1350;;1307;;1323;1412;1472;;1510;1525;1467;1329;;1210;;1108;1072;1131;1113;1064;1001;921;885;950,2;975,6;
1967;8;;997,1;992,8;946;958,6;;979,9;;881;800,8;771,4;;817;873;845;829;;821;;829;869;901;;971,3;971,3;992,1;1042;;1077;;1108;1136;1095;992,8;954,4;975,6;925;841;845;869;
1967;9;;979,9;1054;1171;1245;;1144;;1086;1158;1210;;1280;1270;1323;1350;;1334;;1190;1167;1302;;1307;1200;1265;1340;;1312;;1240;1149;1082;946;897;905;962,8;929,2;1118;;
1967;10;;1176;1158;1154;1082;;1022;;971,3;921;937,6;;1068;1054;1030;1022;;1018;;1038;1018;1122;;1001;958,6;1131;1113;;1162;;1190;1205;1215;1220;1270;1265;1323;1445;1467;1452;
1967;11;;1489;1500;1489;1489;;1510;;1478;1360;1285;;1329;1350;1312;1176;;1077;;1086;1131;1144;;1167;1154;1095;1205;;1290;;1334;1418;1510;1515;1467;1340;1220;1162;1158;;
